run,status,first_collision_s,n_metric_frames,min_ttc,max_jerk,max_yaw,max_lat_accel,brake_delay,recovery,lane_dev,overshoot,rtf
run0002_C2_20260629_195713.jsonl.gz,excluded_early_crash,52.31,,,,,,,,,,
run0004_C2_20260629_200708.jsonl.gz,clean,,3873,2.2649,49.7947,0.4991,10.1758,4.026,0.295,0.916,90.57,0.9999
run0006_C2_20260629_201704.jsonl.gz,clean,,3882,1.857,49.4,0.754,11.9475,3.779,0.048,1.657,62.93,0.9999
run0008_C2_20260629_202657.jsonl.gz,clean,,3703,1.9992,49.3474,0.4804,10.1784,4.085,0.393,0.795,90.57,0.9991
run0010_C2_20260629_203649.jsonl.gz,clean,,3879,3.3622,49.9632,0.4825,9.0257,4.29,0.559,0.821,46.04,0.9999
run0012_C2_20260629_204648.jsonl.gz,clean,,3885,2.0576,49.9789,0.4805,9.0595,4.02,0.251,0.818,46.08,1.0
run0014_C2_20260629_205646.jsonl.gz,clean,,3860,1.8465,49.3053,0.4915,10.1471,3.953,0.222,0.794,90.57,1.0
run0016_C2_20260629_210641.jsonl.gz,clean,,3869,1.7689,49.6974,0.617,9.0257,4.328,0.597,1.021,71.24,0.9997
run0018_C2_20260629_211635.jsonl.gz,clean,,3869,3.5408,49.9737,0.4824,11.8685,3.772,0.041,0.889,63.31,0.9999
run0020_C2_20260629_212628.jsonl.gz,clean,,3859,2.1827,49.5789,0.4824,10.9563,3.653,0.037,0.818,61.44,1.0001
run0022_C2_20260629_213626.jsonl.gz,clean,,3867,1.9207,49.9737,0.5527,9.6797,4.177,0.446,1.007,62.97,1.0001
run0024_C2_20260629_214619.jsonl.gz,clean,,3831,1.6077,49.8105,0.4826,10.5262,3.724,0.031,0.82,90.57,1.0
run0026_C2_20260629_215617.jsonl.gz,truncated,103.35,2560,4.0893,49.9744,0.547,11.253,3.934,0.203,0.927,63.3,0.9997
run0028_C2_20260629_220614.jsonl.gz,clean,,3873,1.0854,49.7079,0.4796,10.1477,4.269,0.538,0.779,90.57,1.0
run0030_C2_20260629_221610.jsonl.gz,clean,,3870,2.0714,49.8026,0.5697,11.9145,3.764,0.033,1.006,63.68,0.9999
run0032_C2_20260629_222607.jsonl.gz,clean,,3870,1.81,49.9641,0.4846,10.7355,3.991,0.26,0.814,63.64,1.0001
run0036_C2_20260629_224426.jsonl.gz,clean,,3852,1.981,49.9949,0.4803,11.5919,3.692,0.0,0.819,63.65,0.9997
run0038_C2_20260629_225423.jsonl.gz,clean,,3790,1.579,49.65,0.5653,9.0257,4.016,0.285,1.197,62.34,0.9999
run0040_C2_20260629_230431.jsonl.gz,clean,,3872,1.5345,49.7079,0.4824,11.4616,3.823,0.092,0.825,90.57,1.0
run0364_C2_20260630_080236.jsonl.gz,clean,,3819,1.9802,49.7051,0.7055,10.4431,4.04,0.309,1.178,71.24,0.9998
run0366_C2_20260630_081222.jsonl.gz,clean,,3867,3.6155,49.7641,0.4848,10.2778,3.664,0.01,0.824,63.3,0.9999
run0368_C2_20260630_082214.jsonl.gz,clean,,3858,2.0014,49.9395,0.4991,10.4922,3.601,0.024,0.895,63.3,1.0001
run0370_C2_20260630_083210.jsonl.gz,clean,,3845,1.745,49.9895,0.4848,10.1905,3.757,0.026,0.8,63.64,1.0001
run0374_C2_20260630_085025.jsonl.gz,clean,,3867,1.7418,49.6816,0.675,10.6369,3.661,0.007,1.171,71.55,1.0001
run0376_C2_20260630_090023.jsonl.gz,clean,,3831,1.7933,49.9526,0.6397,10.4862,3.657,0.004,1.167,71.84,0.9998
run0378_C2_20260630_091022.jsonl.gz,clean,,3878,2.2686,49.7103,0.8476,10.9047,3.671,0.017,1.242,90.57,1.0
run0380_C2_20260630_092014.jsonl.gz,excluded_early_crash,83.71,,,,,,,,,,
run0382_C2_20260630_093006.jsonl.gz,clean,,3839,2.3323,49.7641,0.4994,10.9718,3.629,0.014,0.819,90.57,1.0
run0384_C2_20260630_094004.jsonl.gz,truncated,128.32,3206,2.4958,49.9237,0.7725,11.7215,3.624,0.009,1.525,71.24,1.0
run0386_C2_20260630_095002.jsonl.gz,clean,,3861,1.5317,49.9872,0.675,10.1182,3.653,0.0,1.159,72.48,1.0001
run0388_C2_20260630_095955.jsonl.gz,clean,,3843,1.2327,49.8763,0.5727,10.0635,3.649,0.033,0.999,90.57,1.0
run0390_C2_20260630_100512.jsonl.gz,clean,,3772,2.3861,49.7103,0.7341,11.552,3.504,0.004,0.95,62.34,0.9996
run0392_C2_20260630_101510.jsonl.gz,truncated,122.35,3082,1.1346,49.8205,0.5224,10.5528,3.86,0.13,0.92,90.58,1.0
run0394_C2_20260630_102506.jsonl.gz,truncated,128.86,3238,1.4359,49.6263,0.6951,10.5704,3.597,0.02,1.148,80.65,0.9996
run0396_C2_20260630_103504.jsonl.gz,clean,,3840,2.1926,49.9184,0.6763,10.5229,3.68,0.027,1.114,71.87,1.0
run0398_C2_20260630_104503.jsonl.gz,clean,,3848,1.1375,49.4947,0.4798,9.0257,3.624,0.009,0.807,71.85,0.9999
run0400_C2_20260630_105501.jsonl.gz,clean,,3834,0.6525,49.8474,0.4893,10.1748,3.539,0.0,0.761,90.57,1.0
run0402_C2_20260630_110457.jsonl.gz,clean,,3828,1.6158,49.7077,0.7107,11.6411,3.621,0.005,1.631,78.69,0.9996
run0404_C2_20260630_111455.jsonl.gz,excluded_early_crash,83.89,,,,,,,,,,
run0406_C2_20260630_112450.jsonl.gz,clean,,3830,1.5887,49.9897,0.4823,10.1474,3.766,0.035,0.818,90.57,0.9998
run0408_C2_20260630_113446.jsonl.gz,clean,,3821,1.6942,49.9846,0.4824,10.0784,3.64,0.025,0.824,90.57,0.9997
run0410_C2_20260630_114442.jsonl.gz,clean,,3845,1.6995,49.8,0.6934,10.6175,3.659,0.005,1.177,71.28,1.0001
run0412_C2_20260630_115440.jsonl.gz,excluded_early_crash,78.89,,,,,,,,,,
run0414_C2_20260630_120432.jsonl.gz,clean,,3827,1.4537,49.8158,0.6146,10.5009,3.462,0.0,1.071,71.55,0.9996
run0416_C2_20260630_121429.jsonl.gz,excluded_early_crash,82.47,,,,,,,,,,
run0418_C2_20260630_122419.jsonl.gz,clean,,3801,2.1346,49.8632,0.5608,11.7973,3.466,0.004,1.176,63.69,1.0
run0420_C2_20260630_123411.jsonl.gz,clean,,3872,1.5762,49.7684,0.6317,9.1412,3.486,0.025,1.251,63.65,1.0
run0422_C2_20260630_124409.jsonl.gz,excluded_early_crash,75.61,,,,,,,,,,
run0424_C2_20260630_125117.jsonl.gz,clean,,166,,42.85,0.2222,5.7845,,,0.316,,1.0006
run0426_C2_20260630_125624.jsonl.gz,clean,,223,,39.4289,0.2222,5.7888,,,0.317,,1.0002
run0432_C2_20260630_131211.jsonl.gz,clean,,959,,43.5342,0.2724,9.0032,3.386,0.002,0.748,36.88,1.0023
run0434_C2_20260630_131901.jsonl.gz,excluded_early_crash,82.77,,,,,,,,,,
run0436_C2_20260630_132856.jsonl.gz,clean,,3869,3.0268,49.7077,0.4994,10.6417,3.469,0.007,0.849,63.31,0.9999
run0438_C2_20260630_133854.jsonl.gz,clean,,3855,1.0473,49.3179,0.6799,10.1001,3.468,0.006,1.19,71.26,0.9998
run0440_C2_20260630_134852.jsonl.gz,clean,,3783,3.4228,49.9658,0.7014,11.5615,3.469,0.007,1.243,71.25,1.0
run0442_C2_20260630_135845.jsonl.gz,truncated,98.58,2481,2.0514,49.7077,0.4823,10.4892,3.47,0.008,0.81,63.31,0.9999
run0444_C2_20260630_140834.jsonl.gz,clean,,3814,1.6473,49.7487,0.4993,11.2246,3.479,0.018,0.814,90.57,1.0
run0446_C2_20260630_141830.jsonl.gz,clean,,3846,2.8358,49.9842,0.4995,11.1333,3.499,0.037,0.821,63.31,1.0
run0448_C2_20260630_142828.jsonl.gz,clean,,3797,1.5812,49.9789,0.6308,10.6107,3.492,0.031,0.852,63.31,1.0001
run0450_C2_20260630_143818.jsonl.gz,clean,,3879,2.0446,49.9895,0.4994,9.0257,3.468,0.006,0.766,63.31,1.0
run0452_C2_20260630_144816.jsonl.gz,clean,,3853,3.49,49.9105,0.4824,11.626,3.497,0.035,0.819,63.31,0.9999
run0454_C2_20260630_145806.jsonl.gz,clean,,3821,2.4448,49.7636,0.5849,10.3171,3.488,0.027,1.033,68.06,1.0001
run0456_C2_20260630_150758.jsonl.gz,clean,,3820,1.1361,49.8368,0.5506,10.8939,3.462,0.0,0.952,63.02,0.9997
run0458_C2_20260630_151750.jsonl.gz,truncated,138.35,3465,2.1233,49.6237,0.8664,11.8577,3.488,0.026,1.761,71.55,1.0001
run0460_C2_20260630_152742.jsonl.gz,clean,,3859,1.6619,49.7947,0.4822,10.3127,3.47,0.008,0.816,90.57,1.0001
run0462_C2_20260630_153740.jsonl.gz,clean,,3859,1.291,49.7949,0.7489,10.0408,3.479,0.017,1.141,68.16,0.9998
run0464_C2_20260630_154737.jsonl.gz,clean,,3774,1.8991,49.9308,0.4848,10.0824,3.49,0.028,0.788,90.57,1.0
run0466_C2_20260630_155735.jsonl.gz,clean,,3889,1.0968,49.9921,0.4873,9.0595,3.486,0.025,0.818,61.66,1.0001
run0468_C2_20260630_160727.jsonl.gz,excluded_early_crash,80.66,,,,,,,,,,
run0470_C2_20260630_161723.jsonl.gz,clean,,3668,3.6801,49.7789,0.4814,9.0257,3.489,0.028,0.917,64.0,0.9998
run0472_C2_20260630_162721.jsonl.gz,clean,,3855,1.7979,49.2513,0.8987,11.4456,3.498,0.036,1.721,68.51,1.0001
run0474_C2_20260630_163712.jsonl.gz,excluded_early_crash,82.77,,,,,,,,,,
run0476_C2_20260630_164703.jsonl.gz,clean,,3802,1.5707,49.9342,0.4825,10.0798,3.486,0.025,0.825,90.57,1.0001
run0478_C2_20260630_165653.jsonl.gz,clean,,3792,1.4826,49.2184,0.7364,11.859,3.49,0.028,1.502,71.55,1.0
run0480_C2_20260630_170644.jsonl.gz,clean,,3808,1.6679,49.9949,0.4806,10.18,3.491,0.03,0.856,90.57,0.9998
run0482_C2_20260630_171638.jsonl.gz,clean,,3870,1.1213,49.8641,0.6174,10.6068,3.467,0.005,1.18,71.58,1.0
run0484_C2_20260630_172628.jsonl.gz,truncated,129.39,3221,4.4501,49.7692,0.7502,11.3632,3.485,0.024,1.125,71.85,1.0
run0486_C2_20260630_173625.jsonl.gz,clean,,3819,1.7631,49.5368,0.4796,11.1339,3.467,0.006,0.82,90.57,1.0001
run0488_C2_20260630_174619.jsonl.gz,clean,,3844,0.9988,49.8949,0.4905,10.176,3.468,0.007,0.819,90.57,0.9997
run0490_C2_20260630_175611.jsonl.gz,clean,,3782,2.0007,49.7289,0.4848,9.0257,3.462,0.0,0.819,71.24,1.0
run0492_C2_20260630_180609.jsonl.gz,clean,,3876,2.4913,49.9237,0.6706,11.6115,3.489,0.028,1.22,71.24,0.9997
run0494_C2_20260630_182036.jsonl.gz,clean,,3821,1.037,49.8132,0.695,9.8459,3.414,0.029,1.159,90.49,0.9994
run0496_C2_20260630_183030.jsonl.gz,excluded_early_crash,83.63,,,,,,,,,,
run0498_C2_20260630_184029.jsonl.gz,clean,,3859,1.8813,49.0605,0.7636,9.9618,3.632,0.016,1.124,63.3,1.0001
run0500_C2_20260630_185027.jsonl.gz,excluded_early_crash,80.2,,,,,,,,,,
run0502_C2_20260630_190025.jsonl.gz,truncated,98.86,2460,1.8013,49.6711,0.7062,8.7903,3.72,0.027,1.204,62.98,1.0
run0504_C2_20260630_191019.jsonl.gz,truncated,123.53,3010,1.2891,49.9,0.477,10.1053,4.345,0.038,0.975,90.57,0.9987
run0506_C2_20260630_192017.jsonl.gz,clean,,3852,2.1865,49.7103,0.4893,9.0257,3.694,0.002,0.75,63.35,0.9999
run0508_C2_20260630_193010.jsonl.gz,clean,,3778,2.425,49.7403,0.4825,9.4425,3.681,0.027,0.896,63.31,0.9983
run0510_C2_20260630_193525.jsonl.gz,clean,,3844,1.1193,49.7333,0.4913,11.6888,4.073,0.342,0.954,90.57,0.9934
run0512_C2_20260630_194525.jsonl.gz,clean,,3794,1.9564,49.6763,0.6477,11.0558,3.92,0.497,1.058,64.98,0.9851
run0514_C2_20260630_195543.jsonl.gz,clean,,3860,2.0454,49.7211,0.5662,10.2869,4.071,0.34,1.064,81.71,0.9996
run0516_C2_20260630_200542.jsonl.gz,clean,,3864,1.5265,49.7103,0.6838,11.6478,4.114,0.384,1.274,71.25,0.9999
run0518_C2_20260630_201540.jsonl.gz,clean,,3836,1.8173,49.7077,0.7257,11.6927,3.787,0.057,0.859,90.57,0.9993
run0520_C2_20260630_202532.jsonl.gz,clean,,3861,1.8757,49.7263,0.4994,9.0257,4.163,0.432,0.82,64.96,1.0
run0522_C2_20260630_203523.jsonl.gz,clean,,3881,1.8366,49.759,0.5539,11.9095,3.889,0.159,1.315,64.96,1.0001
run0524_C2_20260630_204517.jsonl.gz,clean,,3864,1.6152,49.6128,0.4818,9.6265,4.017,0.247,1.055,63.0,0.9999
run0526_C2_20260630_205516.jsonl.gz,clean,,3853,1.6903,49.6842,0.8057,10.8264,4.041,0.311,1.454,70.94,1.0
run0528_C2_20260630_210510.jsonl.gz,clean,,3857,1.627,49.9769,0.6806,10.5379,4.11,0.38,1.195,90.57,1.0
run0530_C2_20260630_211503.jsonl.gz,clean,,3842,2.0009,49.6237,0.4915,9.0257,3.965,0.273,0.82,65.0,1.0
run0532_C2_20260630_212457.jsonl.gz,clean,,3879,2.0672,49.9667,0.4894,9.0918,4.067,0.336,1.114,63.69,1.0001
run0534_C2_20260630_213449.jsonl.gz,clean,,3880,1.5634,49.9256,0.6763,11.7307,3.958,0.227,1.431,71.24,1.0001
run0536_C2_20260630_214442.jsonl.gz,clean,,3879,1.9928,49.9711,0.7215,10.2088,3.959,0.228,1.129,70.98,1.0
